year,borough,total_evictions
2017,BRONX,7658
2017,BROOKLYN,6355
2017,MANHATTAN,3450
2017,QUEENS,4325
2017,STATEN ISLAND,734
2018,BRONX,7140
2018,BROOKLYN,6157
2018,MANHATTAN,3390
2018,QUEENS,4452
2018,STATEN ISLAND,691
2019,BRONX,6245
2019,BROOKLYN,5312
2019,MANHATTAN,2817
2019,QUEENS,3705
2019,STATEN ISLAND,636
2020,BRONX,1086
2020,BROOKLYN,1005
2020,MANHATTAN,523
2020,QUEENS,696
2020,STATEN ISLAND,112
2021,BRONX,29
2021,BROOKLYN,100
2021,MANHATTAN,68
2021,QUEENS,36
2021,STATEN ISLAND,35
2022,BRONX,1175
2022,BROOKLYN,1872
2022,MANHATTAN,934
2022,QUEENS,812
2022,STATEN ISLAND,274
2023,BRONX,4319
2023,BROOKLYN,3927
2023,MANHATTAN,2615
2023,QUEENS,2022
2023,STATEN ISLAND,564
2024,BRONX,4704
2024,BROOKLYN,4475
2024,MANHATTAN,3154
2024,QUEENS,3773
2024,STATEN ISLAND,706
2025,BRONX,5564
2025,BROOKLYN,4678
2025,MANHATTAN,2943
2025,QUEENS,4206
2025,STATEN ISLAND,610
