year,month,year_month,total_evictions
2017,1,2017-01,2237
2017,2,2017-02,1695
2017,3,2017-03,2040
2017,4,2017-04,1860
2017,5,2017-05,2080
2017,6,2017-06,1993
2017,7,2017-07,1696
2017,8,2017-08,2034
2017,9,2017-09,1776
2017,10,2017-10,2019
2017,11,2017-11,1763
2017,12,2017-12,1329
2018,1,2018-01,2246
2018,2,2018-02,1778
2018,3,2018-03,1927
2018,4,2018-04,1940
2018,5,2018-05,2128
2018,6,2018-06,1895
2018,7,2018-07,1872
2018,8,2018-08,1980
2018,9,2018-09,1641
2018,10,2018-10,1749
2018,11,2018-11,1484
2018,12,2018-12,1190
2019,1,2019-01,2060
2019,2,2019-02,1657
2019,3,2019-03,1676
2019,4,2019-04,1746
2019,5,2019-05,1795
2019,6,2019-06,1583
2019,7,2019-07,1652
2019,8,2019-08,1515
2019,9,2019-09,1425
2019,10,2019-10,1432
2019,11,2019-11,1190
2019,12,2019-12,984
2020,1,2020-01,1621
2020,2,2020-02,1177
2020,3,2020-03,607
2020,11,2020-11,6
2020,12,2020-12,11
2021,1,2021-01,4
2021,2,2021-02,3
2021,3,2021-03,1
2021,4,2021-04,3
2021,5,2021-05,6
2021,6,2021-06,9
2021,7,2021-07,52
2021,8,2021-08,46
2021,9,2021-09,11
2021,10,2021-10,19
2021,11,2021-11,42
2021,12,2021-12,72
2022,1,2022-01,118
2022,2,2022-02,188
2022,3,2022-03,289
2022,4,2022-04,293
2022,5,2022-05,382
2022,6,2022-06,406
2022,7,2022-07,411
2022,8,2022-08,498
2022,9,2022-09,555
2022,10,2022-10,667
2022,11,2022-11,793
2022,12,2022-12,467
2023,1,2023-01,965
2023,2,2023-02,717
2023,3,2023-03,922
2023,4,2023-04,779
2023,5,2023-05,1109
2023,6,2023-06,1391
2023,7,2023-07,1227
2023,8,2023-08,1479
2023,9,2023-09,1246
2023,10,2023-10,1438
2023,11,2023-11,1269
2023,12,2023-12,905
2024,1,2024-01,1563
2024,2,2024-02,1330
2024,3,2024-03,1243
2024,4,2024-04,1300
2024,5,2024-05,1448
2024,6,2024-06,1260
2024,7,2024-07,1514
2024,8,2024-08,1505
2024,9,2024-09,1457
2024,10,2024-10,1708
2024,11,2024-11,1258
2024,12,2024-12,1226
2025,1,2025-01,1601
2025,2,2025-02,1423
2025,3,2025-03,1674
2025,4,2025-04,1724
2025,5,2025-05,1647
2025,6,2025-06,1555
2025,7,2025-07,1650
2025,8,2025-08,1728
2025,9,2025-09,1686
2025,10,2025-10,1774
2025,11,2025-11,1293
2025,12,2025-12,780
